that those
this these
watch watches
addendum addenda
alga algae
alumna alumnae
apparatus apparatuses
bacillus bacilli
bison bison
corps corps
die dice
alumnus alumni
amoeba amoebae
antenna antennae
bacterium bacteria
cactus cacti
curriculum curricula
corpus corpora
criterion criteria
medium media
phenomenon phenomena
stratum strata
datum data
focus foci
fungus fungi
genus genera
nucleus nuclei
radius radii
larva larvae
memorandum memoranda
stimulus stimuli
syllabus syllabi
vertebra vertebrae
echo echoes
embargo embargoes
hero heroes
potato potatoes
tomato tomatoes
torpedo torpedoes
veto vetoes
foot feet
goose geese
louse lice
man men
mouse mice
tooth teeth
woman women
calf calves
elf elves
half halves
hoof hooves
knife knives
leaf leaves
life lives
loaf loaves
self selves
shelf shelves
thief thieves
wife wives
wolf wolves
axis axes
analysis analyses
basis bases
crisis crises
diagnosis diagnoses
emphasis emphases
hypothesis hypotheses
ellipsis ellipses
antenna antennae
formula formulae
nebula nebulae
vita vitae
neurosis neuroses
oasis oases
paralysis paralyses
parenthesis parentheses
synthesis syntheses
synopsis synopses
thesis theses
appendix appendices
index indices
matrix matrices
barracks barracks
deer deer
fish fish
gallows gallows
means means
person people
offspring offspring
series series
sheep sheep
species species
series series
moose moose
beau beaux
tableau tableux
ox oxen
child children
